Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
1001,ADMIRAL TAIT,Harare,Primary,Northern Central,P1,-17.82644,31.08971
1002,ALEXANDRA PARK,Harare,Primary,Northern Central,P1,-17.79152,31.05566
1003,ALFRED BEIT PRIMARY,Harare,Primary,Warren Park Mabelreign,P1,-17.78811,31.00001
1004,ARDBENNIE,Harare,Primary,Mbare Hatfield,P1,-17.87671,31.03505
1005,AVONDALE,Harare,Primary,Northern Central,P1,-17.79174,31.03407
1006,AVONLEA,Harare,Primary,Warren Park Mabelreign,P1,-17.77002,31.00813
1007,ST. CATHERINE SPEC.,Harare,Primary,Northern Central,P1,-17.81602,31.07381
1008,BATSIRAI ZIMCARE TRUST SPECIAL,Harare,Primary,Warren Park Mabelreign,P2,-17.80474,30.92285
1009,TINOKWIRIRA SPEC.,Harare,Primary,Mabvuku Tafara,P2,-17.83321,31.19596
1010,RUVIMBO SPECIAL,Harare,Primary,High Glen,P2,-17.85632,31.01185
1011,BATANAI,Harare,Primary,Mabvuku Tafara,P2,-17.8336,31.19255
1012,BELVEDERE PRIMARY,Harare,Primary,Warren Park Mabelreign,P1,-17.82522,31.01632
1013,BLAKISTON  JUNIOR,Harare,Primary,Northern Central,P1,-17.8089,31.03773
1014,BORROWDALE PRIMARY,Harare,Primary,Northern Central,P1,-17.77379,31.0905
1015,CHEMBIRA,Harare,Primary,High Glen,P2,-17.91313,30.9651
1016,CHENGU,Harare,Primary,High Glen,P2,-17.8916,30.98931
1017,CHINEMBIRI,Harare,Primary,Chitungwiza,P2,-18.01473,31.09572
1018,ST MARY,Harare,Secondary,Chitungwiza,S2,-17.99326,31.05849
1019,CHIPEMBERE,Harare,Primary,High Glen,P2,-17.88971,30.99782
1020,CHIRODZO,Harare,Primary,Mbare Hatfield,P2,-17.85855,31.03135
1021,NYATSIME COLLEGE,Harare,Secondary,Chitungwiza,S2,-18.0046,31.08376
1022,CHITSERE,Harare,Primary,Mbare Hatfield,P2,-17.86527,31.02775
1023,ST. PETERS KUBATANA HIGH,Harare,Secondary,High Glen,S2,-17.90543,30.98402
1024,COURTENEY  SELOUS,Harare,Primary,Mabvuku Tafara,P1,-17.81221,31.13008
1025,DAVID LIVINGSTONE JUNIOUR,Harare,Primary,Mbare Hatfield,P2,-17.81985,31.06197
1026,DONNYBROOK,Harare,Primary,Mabvuku Tafara,P2,-17.83901,31.18166
1027,DUDZAI,Harare,Primary,Chitungwiza,P2,-18.01737,31.07735
1028,DZIVARESEKWA  NO 4 PRIMARY,Harare,Primary,Warren Park Mabelreign,P2,-17.80675,30.91952
1029,DZIVARESEKWA  NO 5 PRIMARY,Harare,Primary,Warren Park Mabelreign,P2,-17.7968,30.93154
1030,EASTRIDGE,Harare,Primary,Mbare Hatfield,P1,-17.83616,31.07809
1031,ST. PETERS,Harare,Primary,Mbare Hatfield,P2,-17.85392,31.04073
1032,FUNGISAI GOVERNMENT,Harare,Primary,Chitungwiza,P2,-18.01971,31.08992
1033,FRANK JOHNSON,Harare,Primary,High Glen,P2,-17.91163,31.01016
1034,GILLINGHAM GOVERNMENT PRIMARY,Harare,Primary,Warren Park Mabelreign,P2,-17.80666,30.93146
1035,KUNDAYI                  ,Harare,Primary,High Glen,P2,-17.9079,30.96107
1036,GLEN VIEW 1,Harare,Primary,Glenview Mufakose,P2,-17.9146,30.94698
1037,GLEN VIEW 2,Harare,Primary,Glenview Mufakose,P2,-17.90495,30.95153
1038,GLEN VIEW  3,Harare,Primary,Glenview Mufakose,P2,-17.90977,30.94893
1039,GLEN  VIEW  4,Harare,Primary,Glenview Mufakose,P2,-17.90885,30.94578
1040,GLEN  VIEW  5 ,Harare,Primary,Glenview Mufakose,P2,-17.89601,30.95114
1041,GOMBO,Harare,Primary,Warren Park Mabelreign,P2,-17.80467,30.92446
1042,GWINYAI,Harare,Primary,Mbare Hatfield,P3,-17.86351,31.04183
1043,GWINYIRO,Harare,Primary,Glenview Mufakose,P2,-17.86783,30.93395
1044,GREENGROVE,Harare,Primary,Mabvuku Tafara,P1,-17.82975,31.12356
1045,GREYSTONE PARK,Harare,Primary,Northern Central,P1,-17.74477,31.11849
1046,GROOMBRIDGE,Harare,Primary,Northern Central,P1,-17.77818,31.06332
1047,HAIG PARK,Harare,Primary,Warren Park Mabelreign,P1,-17.79826,30.98784
1048,HALLINGBURY,Harare,Primary,Warren Park Mabelreign,P1,-17.77529,31.001
1049,HATFIELD,Harare,Primary,Mbare Hatfield,P1,-17.87835,31.07902
1050,EPWORTH,Harare,Primary,Mabvuku Tafara,P3,-17.87843,31.12726
1051,HIGHLANDS,Harare,Primary,Northern Central,P1,-17.79848,31.08862
1052,HOUGHTON PARK,Harare,Primary,Mbare Hatfield,P2,-17.87971,31.02071
1053,ARUNDEL HIGH,Harare,Secondary,Northern Central,S1,-17.76502,31.04199
1054,EAGLESVALE PREPARATORY,Harare,Primary,Glenview Mufakose,P1,-17.87336,30.96566
1055,EAGLESVALE,Harare,Secondary,Glenview Mufakose,S1,-17.87326,30.96553
1056,KUDAKWASHE  ,Harare,Primary,High Glen,P2,-17.90879,30.98018
1057,CHISIPITE SENIOR,Harare,Secondary,Mabvuku Tafara,S1,-17.78875,31.12222
1058,KUDZANAYI  ,Harare,Primary,High Glen,P2,-17.8981,30.97877
1059,DOMINICAN CONVENT ,Harare,Secondary,Mbare Hatfield,S1,-17.82163,31.05192
1060,KURAI,Harare,Primary,Glenview Mufakose,P2,-17.85874,30.9667
